,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,Soyo,91,AO,1582168787,86,-6.13,12.37,75.18,3.31
361,Morondava,76,MG,1582168787,96,-20.28,44.28,74.84,3.33
362,Rafaela,0,AR,1582168651,52,-31.25,-61.49,72.0,2.98
363,Carberry,5,CA,1582168788,69,49.87,-99.36,-11.2,8.05
364,Shizunai,69,JP,1582168788,76,42.33,142.37,27.3,8.32
365,Grindavik,90,IS,1582168788,75,63.84,-22.43,35.6,21.92
366,Narsaq,86,GL,1582168788,46,60.92,-46.05,6.8,9.17
367,Cermik,75,TR,1582168788,100,38.14,39.45,33.8,5.82
368,Mweka,78,CD,1582168789,99,-4.85,21.57,69.1,0.78
369,Ust-Nera,100,RU,1582168789,98,64.57,143.2,-22.47,4.23
370,Redmond,1,US,1582168649,34,47.67,-122.12,48.2,5.82
